id,cuenta,tipo,fecha,estado,caption,urls,ig_media_id,nota
41-desde-marzo,divifriends,IMAGE,2026-08-16 20:02,publicado,"El 14 de marzo dijo que me lo pasaba esa noche. Hoy me ha vuelto a preguntar cuánto era.

No es mala gente. Es que sin un sitio donde mirarlo, esto se queda en el limbo para siempre.

divifriends.es",https://f003.backblazeb2.com/file/ig-media/ig/94dc5f92226b9b6c.jpg,17903690751512812,publicado 2026-08-16 20:02
42-mensaje-importante,divifriends,IMAGE,2026-08-17 11:00,publicado,"Es llegar la cuenta y ver seis nucas mirando el móvil.

Siempre acaba cogiéndola el mismo. Y el mismo es el que luego va detrás de todos.",https://f003.backblazeb2.com/file/ig-media/ig/0a5fad74ae863fbb.jpg,18101637386258854,publicado 2026-08-17 11:20
43-si-te-ha-llegado-esto,divifriends,IMAGE,2026-08-17 16:00,publicado,Mándaselo. No hace falta que digas nada más.,https://f003.backblazeb2.com/file/ig-media/ig/697ae857e0f9a23b.jpg,18101184527254439,publicado 2026-08-17 16:32
44-entre-amigos,divifriends,IMAGE,2026-08-17 21:00,publicado,"«Entre amigos no hace falta llevar cuentas.»

Traducción: no hace falta que las lleves TÚ. El que pone la tarjeta las lleva igual, solo que en la cabeza y sin decirlo.",https://f003.backblazeb2.com/file/ig-media/ig/3faa37b9577e6ca0.jpg,18146175976546081,publicado 2026-08-17 21:31
divifriends-archivo-reels-idea,divifriends,REELS,2026-08-21 11:00,pendiente,,https://f003.backblazeb2.com/file/ig-media/ig/divifriends/d25d610d91ecc984.mp4,,
